,target,account,affiliated,betweenness_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,closeness_centrality
0,Hillary Clinton,HillaryClinton,True,0.17295719844357973,0.2607003891050584,0.5661220633549133,0.06699427264095244,0.2666276889578839
365,Hillary Clinton,billclinton,True,0.005374513618677043,0.07782101167315175,0.28998330980713716,0.02618198930515646,0.19058942210693183
375,Hillary Clinton,TheDemocrats,True,0.010274805447470817,0.019455252918287938,0.001183523362785526,0.0062109846868326195,0.10544906550998279
372,Hillary Clinton,HillaryforIA,True,0.005091804474708171,0.027237354085603113,0.0956571974566032,0.006195130658460316,0.17326311100630168
411,Hillary Clinton,JW4Hillary,True,0.0034654669260700387,0.01556420233463035,0.00014491256681119712,0.004671311314685605,0.08887589631929464
1,Hillary Clinton,POTUS,False,0.005374513618677043,0.07782101167315175,0.28998330980713716,0.02618198930515646,0.19058942210693183
4,Hillary Clinton,BarackObama,False,0.008815661478599222,0.04669260700389105,0.11968995712204557,0.01071066596815459,0.17562847770945939
8,Hillary Clinton,BernieSanders,False,0.04904851653696498,0.038910505836575876,0.08509195473055332,0.008420435738953432,0.18988614010653726
5,Hillary Clinton,realDonaldTrump,False,0.007143725680933852,0.0311284046692607,0.13029363439885575,0.006875263248932662,0.17384845935429594
382,Hillary Clinton,DrMartyFox,False,0.029608463035019454,0.027237354085603113,0.011046581935409317,0.006475684396055533,0.1350633699970383
421,Hillary Clinton,danmericaCNN,False,0.00027358949416342413,0.01556420233463035,7.357821803348105e-16,0.006293896584240578,0.017509727626459144
405,Hillary Clinton,CarmineZozzora,False,0.00018239299610894942,0.01556420233463035,4.550270462907696e-16,0.0062451744569152106,0.01621271076523995
381,Hillary Clinton,pamnsc,False,0.00012159533073929961,0.01556420233463035,2.5737331221743705e-16,0.00618795050295642,0.01556420233463035
6,Hillary Clinton,politico,False,0.006900535019455253,0.023346303501945526,0.12154101107665993,0.006073466256905472,0.1721041604310087
410,Hillary Clinton,Lawrence,False,0.013497081712062257,0.023346303501945526,0.0012363852884844583,0.005938337613827025,0.10972098927264733
394,Hillary Clinton,Callisto1947,False,0.00036478599221789884,0.0311284046692607,8.670913539162646e-08,0.005878959534105286,0.0311284046692607
384,Hillary Clinton,StateDept,False,0.00036478599221789884,0.0311284046692607,0.11352987603173242,0.005857075756494431,0.17384845935429594
420,Hillary Clinton,joanwalsh,False,0.013497081712062257,0.027237354085603113,0.010447249938645273,0.005723716149607982,0.13983463035019456
11,Hillary Clinton,tedcruz,False,0.010305204280155642,0.01556420233463035,0.05481848656070197,0.005705539100840639,0.17096061119226444
383,Hillary Clinton,Chris_1791,False,3.0398832684824903e-05,0.007782101167315175,2.9193771115574015e-21,0.00569920954844581,0.007782101167315175
380,Hillary Clinton,jstines3,False,0.00634727626459144,0.027237354085603113,0.08374295996124036,0.005657677574352655,0.17268169117071006
414,Hillary Clinton,SenSanders,False,0.022981517509727628,0.023346303501945526,0.01028732802836838,0.005236660159781903,0.14098395607910025
415,Hillary Clinton,ProudInfidel33,False,3.9518482490272375e-05,0.023346303501945526,0.14598871592239135,0.005089628735245919,0.17153047989623868
416,Hillary Clinton,sunbeltgirl,False,1.5199416342412452e-05,0.023346303501945526,0.14480872929581512,0.0050576013477518535,0.1703945164532172
412,Hillary Clinton,BretBaier,False,0.00015199416342412452,0.011673151750972763,5.20276569190995e-16,0.005054512146369594,0.014007782101167316
424,Hillary Clinton,maggieNYT,False,0.00015199416342412452,0.011673151750972763,5.202765691909951e-16,0.005054512146369593,0.014007782101167316
404,Hillary Clinton,jjauthor,False,0.00012159533073929961,0.011673151750972763,3.362931374154966e-16,0.005031400229072985,0.013896609227348528
3,Hillary Clinton,GOP,False,0.006900535019455253,0.01556420233463035,0.06682514925088445,0.004661194474056831,0.17153047989623868
392,Hillary Clinton,WoodenThreat,False,0.003988326848249027,0.027237354085603113,0.1339424517446632,0.004654580238612481,0.17268169117071006
7,Hillary Clinton,FoxNews,False,0.003495865758754864,0.019455252918287938,0.11509386583027335,0.004233639579131202,0.1703945164532172
399,Hillary Clinton,NRO,False,0.006870136186770428,0.011673151750972763,0.00517653366459247,0.004172400258295178,0.1252047298512691
418,Hillary Clinton,anniekarni,False,0.0034654669260700387,0.019455252918287938,0.1205462513529274,0.0036294023466678735,0.17153047989623868
26,Hillary Clinton,MaryMorientes,False,0.0034654669260700387,0.01556420233463035,0.07201010817662608,0.0035211242181951395,0.17153047989623868
417,Hillary Clinton,Babbsgirl2,False,0.031918774319066145,0.01556420233463035,0.10906119026520868,0.002823656979230588,0.18055839989077752
400,Hillary Clinton,johnpodesta,False,0.010214007782101167,0.007782101167315175,0.05384547957639199,0.002311422822096185,0.17096061119226444
